county,median_household_income
Accomack County,58993
Albemarle County,104392
Alexandria city,119681
Alleghany County,56188
Amelia County,76717
Amherst County,68724
Appomattox County,62853
Arlington County,142114
Augusta County,82049
Bath County,56184
Bedford County,78937
Bland County,61216
Botetourt County,81213
Bristol city,50404
Brunswick County,53084
Buchanan County,42886
Buckingham County,60828
Buena Vista city,57833
Campbell County,66165
Caroline County,87407
Carroll County,54484
Charles City County,75417
Charlotte County,58000
Charlottesville city,74824
Chesapeake city,95373
Chesterfield County,101931
Clarke County,117111
Colonial Heights city,76505
Covington city,41944
Craig County,69057
Culpeper County,100049
Cumberland County,55325
Danville city,44423
Dickenson County,47254
Dinwiddie County,83704
Emporia city,51899
Essex County,56520
Fairfax County,153637
Fairfax city,132348
Falls Church city,143262
Fauquier County,130189
Floyd County,62191
Fluvanna County,96768
Franklin County,68849
Franklin city,63245
Frederick County,97606
Fredericksburg city,86071
Galax city,38675
Giles County,65691
Gloucester County,84306
Goochland County,118931
Grayson County,47730
Greene County,89808
Greensville County,54668
Halifax County,52013
Hampton city,69621
Hanover County,112805
Harrisonburg city,62254
Henrico County,88783
Henry County,50760
Highland County,65625
Hopewell city,54729
Isle of Wight County,95241
James City County,109985
King George County,116884
King William County,86056
King and Queen County,70469
Lancaster County,69713
Lee County,41827
Lexington city,84517
Loudoun County,181765
Louisa County,86689
Lunenburg County,54842
Lynchburg city,57947
Madison County,84323
Manassas Park city,103250
Manassas city,113590
Martinsville city,46727
Mathews County,75880
Mecklenburg County,57045
Middlesex County,75060
Montgomery County,72715
Nelson County,72589
New Kent County,123314
Newport News city,69634
Norfolk city,66109
Northampton County,61632
Northumberland County,66480
Norton city,41495
Nottoway County,63261
Orange County,94008
Page County,57037
Patrick County,53038
Petersburg city,50698
Pittsylvania County,54085
Poquoson city,120972
Portsmouth city,60491
Powhatan County,110537
Prince Edward County,56315
Prince George County,84897
Prince William County,131402
Pulaski County,62028
Radford city,57348
Rappahannock County,83380
Richmond County,66304
Richmond city,64587
Roanoke County,83709
Roanoke city,55378
Rockbridge County,65469
Rockingham County,80693
Russell County,50012
Salem city,66725
Scott County,46349
Shenandoah County,67191
Smyth County,49883
Southampton County,70795
Spotsylvania County,112738
Stafford County,137807
Staunton city,65581
Suffolk city,92666
Surry County,78041
Sussex County,63530
Tazewell County,47313
Virginia Beach city,92968
Warren County,84682
Washington County,64552
Waynesboro city,59994
Westmoreland County,63398
Williamsburg city,75604
Winchester city,63974
Wise County,52943
Wythe County,57745
York County,109956
